url,id,user,text,coordinates,place,source,location
https://www.strava.com/athletes/18164468,1059077091835215873,positivpaddy,"Alleine - zu viert - alleine aber schön 
#strava #sport #rennrad #radsport #sun #fun #spass https://t.co/ikcbCAzLFU https://t.co/VGvoJoxsGG",,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",
https://www.strava.com/athletes/35294241,1059074742236393473,PierpaoloFantuz,went for a 31.9 kilometer mountain bike ride. https://t.co/Izi3lcXSyc #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",
https://www.strava.com/athletes/7033957,1059071179179352066,jcarlosdelpino,"29,4 kms de BTT Pedals del Tenes 2018  https://t.co/hU9vkrtIii #strava",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",GЯДИФLLΞЯS•CДΓДLЦИУД•||*||
https://www.strava.com/athletes/1737962,1059070809728303108,avilabarr,"recorrió 114,8 kilómetro Recorrido en bicicleta. https://t.co/n6AsSlo6V0 #strava",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Barcelona
https://www.strava.com/athletes/1098064,1059068602937159680,jonoace,91.4 kilometer road ride With The Ciclolandal Team To Torres Vedras. https://t.co/cuHFjDwYMH #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Portugal
https://www.strava.com/athletes/11508075,1059064939745304577,alberhanibal,"Recorrió 20,4 kilómetros. Recorrido en bicicleta. https://t.co/N5UxYEX8IK #strava",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Fuenlabrada, España"
https://www.strava.com/athletes/7083772,1059059596600332288,Bearstedbabe,went for a 5.0 kilometer Run. https://t.co/D2o53MUYxj #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",UK
https://www.strava.com/athletes/1739091,1059057213761863680,ThomasRoygens,went for a 10.1 kilometer Run. https://t.co/L06CSqv0wA #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",
https://www.strava.com/athletes/12853784,1059053706832961536,JoseManuelAmez,"recorrió 68,0 kilómetro Recorrido en bicicleta. https://t.co/U2gb8J01Cg #strava",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","39.561377,3.209423"
https://www.strava.com/athletes/1719332,1059046666760843266,neilstokoe,Day 97! Gibside Fruitbowl. Now thats a hilly route!!! Great fun in a sick sort of way. #gibside #RunEveryDay https://t.co/0kBVqCRrOL #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Dunston
https://www.strava.com/athletes/30312584,1059040238515970048,vaiostigkas,went for a 31.4 kilometer Ride. https://t.co/Zgm9Zd0pkj #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Καρδίτσα, Ελλάς"
https://www.strava.com/athletes/4756829,1059035650538659840,yuusa103,"３０ｋｍ走って、２時間半くらい待って。本命の8090レはもちろん、踊り子も１本しか撮影できず。嗚呼( ﾉД`)シクシク
 https://t.co/ZBVhsJLCJy #strava",,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://pixiv.me/yuusa103
https://www.strava.com/athletes/14403979,1059027795995774977,mustafatanis,went for a 9.1 kilometer Run. MarmaRUN Race https://t.co/Szw9Sou3lH #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",Istanbul
https://www.strava.com/athletes/29747947,1059021813164859394,naoootyy,97.9 キロメートル のライドに出かけました。 https://t.co/SqxnKPecFx #strava,,,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",スカイツリー
